timeid,fig_dataset,fig_no,rpm_percentage,me_sfoc
5098421,0,F02-1,0.77,208.01
5098422,0,F02-1,0.77,208.99
5098422,0,F02-1,0.77,208.99
5098423,0,F02-1,0.77,208.51
5098423,0,F02-1,0.77,208.51
5098424,0,F02-1,0.77,208.93
5098424,0,F02-1,0.77,208.93
5098425,0,F02-1,0.77,278.02
5098425,0,F02-1,0.77,278.02
5098426,0,F02-1,0.77,208.94
5098426,0,F02-1,0.77,208.94
5098427,0,F02-1,0.77,208.12
5098427,0,F02-1,0.77,208.12
5098428,0,F02-1,0.77,209.04
5098428,0,F02-1,0.77,209.04
5098429,0,F02-1,0.77,209.38
5098429,0,F02-1,0.77,209.38
5098430,0,F02-1,0.77,208.57
5098430,0,F02-1,0.77,208.57
5098431,0,F02-1,0.77,207.48
5098431,0,F02-1,0.77,207.48
5098432,0,F02-1,0.77,209.26
5098432,0,F02-1,0.77,209.26
5098433,0,F02-1,0.77,210.05
5098433,0,F02-1,0.77,210.05
5098434,0,F02-1,0.77,209.07
5098434,0,F02-1,0.77,209.07
5098435,0,F02-1,0.77,208.24
5098435,0,F02-1,0.77,208.24
5098436,0,F02-1,0.77,209.6
5098436,0,F02-1,0.77,209.6
5098437,0,F02-1,0.77,209.4
5098437,0,F02-1,0.77,209.4
5098438,0,F02-1,0.77,208.56
5098438,0,F02-1,0.77,208.56
5098439,0,F02-1,0.77,209.82
5098439,0,F02-1,0.77,209.82
5098440,0,F02-1,0.77,210.0
5098440,0,F02-1,0.77,210.0
5098441,0,F02-1,0.77,210.27
5098441,0,F02-1,0.77,210.27
5098442,0,F02-1,0.77,208.46
5098442,0,F02-1,0.77,208.46
5098443,0,F02-1,0.77,209.78
5098443,0,F02-1,0.77,209.78
5098444,0,F02-1,0.77,209.38
5098444,0,F02-1,0.77,209.38
5098445,0,F02-1,0.77,208.51
5098445,0,F02-1,0.77,208.51
5098446,0,F02-1,0.77,209.08
5098446,0,F02-1,0.77,209.08
5098448,0,F02-1,0.77,208.02
5098448,0,F02-1,0.77,208.02
5098449,0,F02-1,0.77,206.46
5098449,0,F02-1,0.77,206.46
5098450,0,F02-1,0.77,209.43
5098450,0,F02-1,0.77,209.43
5098451,0,F02-1,0.77,208.78
5098451,0,F02-1,0.77,208.78
5098452,0,F02-1,0.77,259.01
5098452,0,F02-1,0.77,259.01
5098453,0,F02-1,0.77,224.4
5098453,0,F02-1,0.77,224.4
5098454,0,F02-1,0.77,208.4
5098454,0,F02-1,0.77,208.4
5098455,0,F02-1,0.77,208.27
5098455,0,F02-1,0.77,208.27
5098456,0,F02-1,0.77,208.6
5098456,0,F02-1,0.77,208.6
5098457,0,F02-1,0.77,207.62
5098457,0,F02-1,0.77,207.62
